generation,genome,fitness
14,3.33887,3.21129
14,3.5921,1.13025
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.26031,2.80906
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.04674,-0.544573
14,3.33887,3.21129
14,3.37065,3.14885
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.1214,0.638069
14,3.33887,3.21129
14,3.67974,0.867295
14,3.26319,2.83769
14,3.33887,3.21129
14,3.72429,0.96617
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.57292,1.27234
14,3.33887,3.21129
14,3.33887,3.21129
14,3.13493,0.880192
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.33887,3.21129
14,3.65748,0.872344
